doc_id,text,source,department,file_type,created_at,label
DOC_1,Company announcement: office will remain closed on 26 Jan.,email,Sales,xlsx,2023-03-31,Public
DOC_2,Public FAQ updated for customers regarding services.,slack,HR,xlsx,2023-07-23,Public
DOC_3,Public FAQ updated for customers regarding services.,crm,Sales,email,2023-12-15,Public
DOC_4,Press release: Initech eXpands operations globally.,email,IT,txt,2024-09-10,Public
DOC_5,Press release: Hooli expAnds operations globally.,email,Legal,txt,2024-10-05,Public
DOC_6,Press release: Acme Corp expands operations globally.,upload,HR,docx,2023-04-14,Public
DOC_7,Public FAQ updated for customers regarding services.,crm,Sales,txt,2024-12-19,Public
DOC_8,Company announcement: office will remain closed on 15 Sep.,crm,Support,email,2023-10-04,Public
DOC_9,NeW blog published about Nimbus innovations.,upload,Support,txt,2023-03-09,Public
DOC_10,New blog published about Nimbus innovations.,api,Sales,email,2023-05-27,Public
DOC_11,Press release: Hooli expands operations globally.,drive,Legal,email,2024-08-20,Public
DOC_12,Public FAQ updated for customers regarding services.,email,HR,pdf,2023-06-06,Public
DOC_13,New blog published about Atlas innovations.,slack,Support,xlsx,2023-09-15,Public
DOC_14,Company announcement: office will remain closed on 27 Nov.,drive,IT,pdf,2023-10-28,Public
DOC_15,Public FAQ updated for customers regarding services.,drive,IT,xlsx,2023-07-02,Public
DOC_16,Company announcement: office will remain closed on 02 Oct.,crm,IT,docx,2024-07-06,Public
DOC_17,Company announcement: oFfice will remain closed on 05 Sep.,upload,Finance,pdf,2023-09-04,Public
DOC_18,Company announcement: office will remain closed on 29 Mar.,slack,Finance,docx,2024-11-06,Public
DOC_19,Public FAQ updated for customers regarding services.,slack,Support,docx,2024-07-06,Public
DOC_20,New blog published about Nimbus innovations.,drive,IT,email,2024-06-13,Public
DOC_21,PUblic FAQ updated for customers regarding services.,slack,Legal,docx,2024-08-25,Public
DOC_22,NeW blog published about Apollo innovations.,upload,HR,xlsx,2023-09-01,Public
DOC_23,Press release: Globex expands operations globally.,drive,Legal,xlsx,2024-04-29,Public
DOC_24,New blog published about Atlas innovations.,api,IT,email,2024-02-25,Public
DOC_25,Public FAQ updated for customers regarding services.,upload,HR,docx,2023-07-16,Public
DOC_26,New blog published about Atlas innovations.,upload,Support,docx,2023-03-19,Public
DOC_27,Public FAQ updated for customers regarding services.,slack,HR,pdf,2023-08-31,Public
